time,load
2014-01-01 00:00:00,423.4385289926889
2014-01-01 00:15:00,358.1591028622222
2014-01-01 00:30:00,379.72386571106665
2014-01-01 00:45:00,378.17225846308895
2014-01-01 01:00:00,354.62196822868884
2014-01-01 01:15:00,376.6798248285888
2014-01-01 01:30:00,363.8593063813444
2014-01-01 01:45:00,344.3918453574778
2014-01-01 02:00:00,349.37541653663334
2014-01-01 02:15:00,331.4003816842667
2014-01-01 02:30:00,342.4128773875
2014-01-01 02:45:00,366.5286040361556
2014-01-01 03:00:00,309.2176297963889
2014-01-01 03:15:00,317.35700451437776
2014-01-01 03:30:00,350.69033103321107
2014-01-01 03:45:00,308.95464830793327
2014-01-01 04:00:00,338.17225286317773
2014-01-01 04:15:00,386.18014943478886
2014-01-01 04:30:00,322.8139439241556
2014-01-01 04:45:00,322.78763385251114
2014-01-01 05:00:00,339.7764559051556
2014-01-01 05:15:00,311.22289153674444
2014-01-01 05:30:00,334.95725677184447
2014-01-01 05:45:00,354.7797612826556
2014-01-01 06:00:00,353.4976972244778
2014-01-01 06:15:00,389.8290650601222
2014-01-01 06:30:00,407.7317562501444
2014-01-01 06:45:00,433.58316536274447
2014-01-01 07:00:00,524.5956679693111
2014-01-01 07:15:00,513.2084294714333
2014-01-01 07:30:00,500.3353282104667
2014-01-01 07:45:00,553.9184674464667
2014-01-01 08:00:00,573.6685984328334
2014-01-01 08:15:00,566.6995216134111
2014-01-01 08:30:00,579.9145134531667
2014-01-01 08:45:00,567.0742828545666
2014-01-01 09:00:00,589.0729854591779
2014-01-01 09:15:00,610.6377322518443
2014-01-01 09:30:00,568.6061772559666
2014-01-01 09:45:00,569.5792128019999
2014-01-01 10:00:00,590.3419033376443
2014-01-01 10:15:00,576.2261615436556
2014-01-01 10:30:00,587.054568401111
2014-01-01 10:45:00,579.2570581588111
2014-01-01 11:00:00,562.4260245654
2014-01-01 11:15:00,586.7061143221111
2014-01-01 11:30:00,590.1972388448111
2014-01-01 11:45:00,571.0321966988666
2014-01-01 12:00:00,607.1992094184111
2014-01-01 12:15:00,637.7383260418667
2014-01-01 12:30:00,628.0539178390667
2014-01-01 12:45:00,679.9671349399556
2014-01-01 13:00:00,712.4523321194556
2014-01-01 13:15:00,689.4872068624112
2014-01-01 13:30:00,682.0184157152667
2014-01-01 13:45:00,641.6502384129667
2014-01-01 14:00:00,646.0683856352556
2014-01-01 14:15:00,694.4050136306
2014-01-01 14:30:00,634.1223001756446
2014-01-01 14:45:00,651.0387796436555
2014-01-01 15:00:00,659.4214261302
2014-01-01 15:15:00,606.7324197488778
2014-01-01 15:30:00,618.8231364611888
2014-01-01 15:45:00,651.1768493057778
2014-01-01 16:00:00,653.8790258259445
2014-01-01 16:15:00,660.4076277797334
2014-01-01 16:30:00,652.3471402790777
2014-01-01 16:45:00,631.0256441843667
2014-01-01 17:00:00,666.2787654531667
2014-01-01 17:15:00,631.1242666239111
2014-01-01 17:30:00,630.2235520853111
2014-01-01 17:45:00,642.9782839825667
2014-01-01 18:00:00,617.2057924068665
2014-01-01 18:15:00,633.2938782126666
2014-01-01 18:30:00,639.9736881069111
2014-01-01 18:45:00,606.4234070321334
2014-01-01 19:00:00,644.8915243504001
2014-01-01 19:15:00,650.1446265179554
2014-01-01 19:30:00,633.2347231357667
2014-01-01 19:45:00,668.1525309481112
2014-01-01 20:00:00,655.1413468326556
2014-01-01 20:15:00,627.8369590723556
2014-01-01 20:30:00,667.0743053834889
2014-01-01 20:45:00,639.3754075102667
2014-01-01 21:00:00,632.5904078566667
2014-01-01 21:15:00,643.3859097623999
2014-01-01 21:30:00,590.394485763
2014-01-01 21:45:00,565.6475849811
2014-01-01 22:00:00,570.9861747371
2014-01-01 22:15:00,533.6949441842667
2014-01-01 22:30:00,517.6660220937223
2014-01-01 22:45:00,524.2406433600667
2014-01-01 23:00:00,494.5890907138223
2014-01-01 23:15:00,487.80408502692217
2014-01-01 23:30:00,485.0032946185555
2014-01-01 23:45:00,446.72582074552224
2014-01-02 00:00:00,488.0013197052222
2014-01-02 00:15:00,514.8981053824111
2014-01-02 00:30:00,439.1255724815556
2014-01-02 00:45:00,424.1683064211111
2014-01-02 01:00:00,406.4168319425445
2014-01-02 01:15:00,377.83695360307775
2014-01-02 01:30:00,395.6015835052667
2014-01-02 01:45:00,395.11506210928894
2014-01-02 02:00:00,362.6890151901111
2014-01-02 02:15:00,364.8520694891556
2014-01-02 02:30:00,322.3011171435222
2014-01-02 02:45:00,321.1834374793333
2014-01-02 03:00:00,355.5424029518556
2014-01-02 03:15:00,311.6765364586
2014-01-02 03:30:00,315.6673307078889
2014-01-02 03:45:00,343.6554893454889
2014-01-02 04:00:00,305.0690458112111
2014-01-02 04:15:00,316.45628443905554
2014-01-02 04:30:00,325.1018921425555
2014-01-02 04:45:00,314.91125512161113
2014-01-02 05:00:00,330.85468576411114
2014-01-02 05:15:00,339.8619273026667
2014-01-02 05:30:00,317.6988897133555
2014-01-02 05:45:00,334.4312868064222
2014-01-02 06:00:00,344.26693476857776
2014-01-02 06:15:00,358.52070325700004
2014-01-02 06:30:00,398.6193349819666
2014-01-02 06:45:00,379.25049661406666
2014-01-02 07:00:00,389.9145401018555
2014-01-02 07:15:00,469.68442352373336
2014-01-02 07:30:00,511.8211862872445
2014-01-02 07:45:00,524.7271663644779
2014-01-02 08:00:00,554.1288601551889
2014-01-02 08:15:00,532.9585907993112
2014-01-02 08:30:00,560.8547043821667
2014-01-02 08:45:00,596.2919251717334
2014-01-02 09:00:00,564.3721330285556
