time,pPV
1641274200,10.8
1641275100,10.56
1641276000,15.64
1641276900,17.0
1641277800,17.36
1641278700,17.6
1641279600,17.08
1641280500,17.48
1641281400,17.28
1641282300,17.52
1641283200,17.56
1641284100,18.68
1641285000,18.92
1641285900,18.64
1641286800,18.16
1641287700,20.12
1641288600,18.12
1641289500,18.12
1641290400,18.96
1641291300,18.2
1641292200,17.52
1641293100,17.04
1641294000,17.4
1641294900,17.44
1641295800,18.04
1641296700,17.28
1641297600,17.28
1641298500,17.16
1641299400,17.2
1641300300,17.4
1641301200,17.52
1641302100,17.24
1641303000,17.04
1641303900,17.6
1641304800,16.6
1641305700,18.16
1641306600,16.16
1641307500,15.76
1641308400,15.64
1641309300,15.76
1641310200,15.8
1641311100,16.24
1641312000,17.32
1641312900,16.76
1641313800,18.32
1641314700,17.44
1641315600,16.16
1641316500,15.68
1641317400,15.84
1641318300,15.76
1641319200,16.16
1641320100,16.6
1641321000,15.96
1641321900,16.2
1641322800,15.96
1641323700,16.12
1641324600,15.92
1641325500,16.32
1641326400,15.32
1641327300,15.2
1641328200,14.84
1641329100,14.84
1641330000,15.0
1641330900,14.72
1641331800,15.48
1641332700,15.8
1641333600,9.92
1641334500,9.68
1641335400,10.0
1641336300,9.68
1641337200,9.84
1641338100,9.76
1641339000,9.72
1641339900,9.8
1641340800,9.76
1641341700,9.88
1641342600,9.68
1641343500,10.12
1641344400,9.8
1641345300,10.16
1641346200,9.84
1641347100,9.68
1641348000,9.24
1641348900,9.28
1641349800,9.4
1641350700,9.28
1641351600,9.36
1641352500,9.2
1641353400,9.52
1641354300,9.24
1641355200,10.56
1641356100,10.32
1641357000,10.44
1641357900,10.28
1641358800,10.48
1641359700,10.44
1641360600,10.28
1641361500,10.96
1641362400,15.2
1641363300,17.44
1641364200,17.56
1641365100,17.48
1641366000,16.76
1641366900,17.64
1641367800,18.04
1641368700,18.12
1641369600,17.72
1641370500,18.2
1641371400,17.52
1641372300,16.68
1641373200,17.76
1641374100,17.28
1641375000,18.6
1641375900,18.32
